page,country,rev_id,population,region,article_quality
Ján Hudacký,Slovakia,730664514,5.462000000000001,EUROPE,Start
Milan Gaľa,Slovakia,730671572,5.462000000000001,EUROPE,Start
Miroslav Mikolášik,Slovakia,730671641,5.462000000000001,EUROPE,Start
Panayiotis Demetriou,Cyprus,730672140,1.207,ASIA,Stub
Peter Baco,Slovakia,730672380,5.462000000000001,EUROPE,Start
Sergej Kozlík,Slovakia,730672953,5.462000000000001,EUROPE,Stub
Yiannakis Matsis,Cyprus,730673096,1.207,ASIA,Stub
Mojca Kleva,Slovenia,730674032,2.103,EUROPE,Start
Costas Mavrides,Cyprus,730676359,1.207,ASIA,Stub
Sophocles Sophocleous,Cyprus,730681164,1.207,ASIA,Stub
Kyriakos Mavronikolas,Cyprus,730681201,1.207,ASIA,Stub
Marino Baldini,Croatia,730681540,4.02,EUROPE,Stub
Alexey Ostrovsky,Russia,730687976,146.733,EUROPE,Stub
Juan Jesús Vivas,Spain,730692172,47.635,EUROPE,Stub
Enrique Palacios Hernández,Spain,730694376,47.635,EUROPE,Stub
Jeremy Akerman,Canada,730706462,38.19,NORTHERN AMERICA,C
Humberto Albornoz,Ecuador,730708994,17.511,LATIN AMERICA AND THE CARIBBEAN,Stub
Francisco Mendes,Guinea-Bissau,730722240,1.9269999999999998,AFRICA,Start
József Klekl (politician),Slovenia,730725988,2.103,EUROPE,Start
Richard Andriamanjato,Madagascar,730738023,27.691,AFRICA,Start
Simon Khaya-Moyo,Zimbabwe,730764918,14.863,AFRICA,Stub
Ascensión Esquivel Ibarra,Costa Rica,730789490,5.111000000000001,LATIN AMERICA AND THE CARIBBEAN,Start
João Maria Ferreira do Amaral,Portugal,730792888,10.255,EUROPE,C
João Mangabeira,Brazil,730794140,211.812,LATIN AMERICA AND THE CARIBBEAN,Start
João Mansur,Brazil,730795394,211.812,LATIN AMERICA AND THE CARIBBEAN,Stub
Ana Julia Carepa,Brazil,730795471,211.812,LATIN AMERICA AND THE CARIBBEAN,Stub
Hélio Gueiros,Brazil,730795492,211.812,LATIN AMERICA AND THE CARIBBEAN,Stub
Ricardo Castro Beeche,Costa Rica,730799334,5.111000000000001,LATIN AMERICA AND THE CARIBBEAN,Stub
List of Presidents of the Swiss Diet,Switzerland,730828062,8.634,EUROPE,Start
Office-holders of Canada,Canada,730830430,38.19,NORTHERN AMERICA,Start
Jerry Needam,Nigeria,730842731,206.14,AFRICA,Stub
Xu Zaisi,China,730851511,1402.385,ASIA,Start
Liang Na,China,730853162,1402.385,ASIA,Start
Georg von Cancrin,Russia,730860769,146.733,EUROPE,C
Léon Nicole,Switzerland,730875378,8.634,EUROPE,Stub
Valéria Benke,Hungary,730887642,9.767000000000001,EUROPE,Stub
Viliami Latu,Tonga,730898629,99.0,OCEANIA,Start
Viliami Tangi,Tonga,730898689,99.0,OCEANIA,Stub
Teresa Patrício de Gouveia,Portugal,730898693,10.255,EUROPE,Start
Maria do Carmo Seabra,Portugal,730903399,10.255,EUROPE,Stub
Jacob Nena,Federated States of Micronesia,730909165,106.0,OCEANIA,Stub
Jónína Bjartmarz,Iceland,730911802,368.0,EUROPE,Stub
Kolbrún Halldórsdóttir,Iceland,730912050,368.0,EUROPE,Stub
Ingibjörg Pálmadóttir,Iceland,730913233,368.0,EUROPE,Stub
Zsolt Páva,Hungary,730941193,9.767000000000001,EUROPE,Stub
Tytti Isohookana-Asunmaa,Finland,730945448,5.529,EUROPE,Stub
Suvi-Anne Siimes,Finland,730946679,5.529,EUROPE,Start
Ella Tengbom-Velander,Sweden,730947032,10.377,EUROPE,Stub
Víctor Bravo Ahuja,Mexico,730949261,127.792,LATIN AMERICA AND THE CARIBBEAN,Stub
Mohammad Gul (Helmand Council),Afghanistan,730949872,38.928000000000004,ASIA,Stub
Janata Dal (Samajbadi Prajatantrik),Nepal,730958820,29.996,ASIA,Stub
Pedro Sánchez Rendón,Spain,730969174,47.635,EUROPE,Stub
"Gonçalo Coutinho, 2nd Count of Marialva",Portugal,730973052,10.255,EUROPE,Stub
Vasco Martins de Sousa,Portugal,730973092,10.255,EUROPE,Stub
Liberato Marcial Rojas,Paraguay,730992337,7.255,LATIN AMERICA AND THE CARIBBEAN,Stub
Mykhailo Bondarenko,Ukraine,731004073,41.778,EUROPE,Stub
Emanoil Catelli,Moldova,731019713,3.535,EUROPE,Stub
Ojo Maduekwe,Nigeria,731021539,206.14,AFRICA,Start
Nicolae Testemițanu,Moldova,731027938,3.535,EUROPE,Stub
Louis Grégoire Deschamps Destournelles,France,731031647,64.94,EUROPE,C
Maciej Grabowski,Poland,731031879,38.368,EUROPE,Stub
Marie Jean François Philibert Lecarlier d'Ardon,France,731032174,64.94,EUROPE,Start
Melchor de Navarrete,Spain,731071632,47.635,EUROPE,C
Isa bin Abdulrahman Al Hammadi,Bahrain,731093123,1.465,ASIA,Start
Mohamoud Mohamed Guled,Somalia,731100128,15.892999999999999,AFRICA,Start
Jean-Marie Girault,France,731115379,64.94,EUROPE,Stub
Maximilian Jaeger,Switzerland,731124391,8.634,EUROPE,Stub
Sohan Singh Thandal,India,731125096,1400.1,ASIA,Stub
Jamal Leghari,Pakistan,731135999,220.94,ASIA,Stub
Ohn Maung,Myanmar,731177059,54.70399999999999,ASIA,Stub
Sun Jiagan,China,731193147,1402.385,ASIA,Start
Thomas Hodges (Governor of Bombay),United Kingdom,731193594,67.16,EUROPE,Stub
Zakaria Chol Gideon Gakmar,South Sudan,731201083,11.194,AFRICA,Stub
Ghiță Moscu,Romania,731211657,19.241,EUROPE,C
Vicente Manuel de Céspedes,Cuba,731223730,11.280999999999999,LATIN AMERICA AND THE CARIBBEAN,C
Titus Edzoa,Cameroon,731230666,26.598000000000003,AFRICA,Start
Alexandru Diordiță,Moldova,731267681,3.535,EUROPE,Stub
Clifford Ohiagu,Nigeria,731276297,206.14,AFRICA,Stub
Njoku Nnamdi,Nigeria,731276344,206.14,AFRICA,Stub
Iheanacho Obioma,Nigeria,731276359,206.14,AFRICA,Stub
Uchechukwu N. Maduako,Nigeria,731276379,206.14,AFRICA,Stub
Anthony Eze Enwereuzor,Nigeria,731276422,206.14,AFRICA,Stub
Macebuh Chinonyerem,Nigeria,731276452,206.14,AFRICA,Stub
Nwakanwa Chimaobi,Nigeria,731276490,206.14,AFRICA,Stub
Ameh Ebute,Nigeria,731276619,206.14,AFRICA,Stub
Sahana Pradhan,Nepal,731298989,29.996,ASIA,Start
Ahmad Shah Khan Asakzai,Afghanistan,731353196,38.928000000000004,ASIA,Stub
Muhammad Mahdi Salih,Iraq,731384242,39.725,ASIA,Start
Kashmir Khan,Afghanistan,731397902,38.928000000000004,ASIA,Start
William Paul (Australian politician),Australia,731418975,25.754,OCEANIA,Stub
Eisuke Hinode,Japan,731438482,125.96700000000001,ASIA,Stub
Ingemund Bengtsson,Sweden,731451043,10.377,EUROPE,Stub
Jarl Hjalmarson,Sweden,731453635,10.377,EUROPE,Start
Paul Dalrymple Butler,United Kingdom,731454773,67.16,EUROPE,Stub
Andreas Miaoulis (born 1869),Greece,731488694,10.7,EUROPE,Stub
Cornelis van Aarsens,Netherlands,731511066,17.467,EUROPE,Start
Haroon al-Afghani,Afghanistan,731512019,38.928000000000004,ASIA,C
William H. Stead,United States,731519296,329.87800000000004,NORTHERN AMERICA,Stub
Duncan Stewart (Uruguayan politician),Uruguay,731523412,3.531,LATIN AMERICA AND THE CARIBBEAN,Start
François Duval (politician),France,731529778,64.94,EUROPE,Stub
Oliver Nicolls,United Kingdom,731535796,67.16,EUROPE,Start
Gonzalo García Núñez,Peru,731536602,32.824,LATIN AMERICA AND THE CARIBBEAN,Start
Helmut Böck (diplomat),Austria,731538948,8.914,EUROPE,Stub
Henry Coyle (politician),Ireland,731539148,5.003,EUROPE,Stub
Justinas Staugaitis,Lithuania,731566260,2.7939999999999996,EUROPE,Start
José Núñez (President of Nicaragua),Nicaragua,731567417,6.596,LATIN AMERICA AND THE CARIBBEAN,Stub
Gösta Bagge,Sweden,731574335,10.377,EUROPE,Stub
Tanimowo Ogunlesi,Nigeria,731579887,206.14,AFRICA,Stub
Wolf Gold,Israel,731597504,9.216000000000001,ASIA,Start
Prakash Koirala,Nepal,731622427,29.996,ASIA,Stub
Lewis Brown (Liberia),Liberia,731622463,5.058,AFRICA,Stub
"Louis Phélypeaux, marquis de La Vrillière",France,731623211,64.94,EUROPE,Stub
Pencho Zlatev,Bulgaria,731627850,6.9270000000000005,EUROPE,Start
William Higson,Australia,731656768,25.754,OCEANIA,Stub
Robert Lord (Australian politician),Australia,731656969,25.754,OCEANIA,Stub
William B. Camp,United States,731660598,329.87800000000004,NORTHERN AMERICA,Stub
Graham McIntosh,South Africa,731662335,59.628,AFRICA,C
Momolu Dukuly,Liberia,731665566,5.058,AFRICA,Stub
Héctor Grauert,Uruguay,731667202,3.531,LATIN AMERICA AND THE CARIBBEAN,Stub
Syed Ali Qutab Shah Rizvi,Pakistan,731667569,220.94,ASIA,Stub
Ernâni Lopes,Portugal,731671017,10.255,EUROPE,Stub
Ángel Gallardo,Argentina,731691881,45.376999999999995,LATIN AMERICA AND THE CARIBBEAN,Stub
Martin Grüner,Germany,731732309,83.3,EUROPE,Stub
Wilhelm Haferkamp,Germany,731732401,83.3,EUROPE,Stub
Walter Wallmann,Germany,731738359,83.3,EUROPE,Stub
Zhang Zhijun,China,731744819,1402.385,ASIA,Start
Dunama IX Lefiami,Chad,731749611,16.877,AFRICA,Stub
Antoine Bertier,France,731756832,64.94,EUROPE,Start
Pompiliu Ștefu,Romania,731767160,19.241,EUROPE,B
Väinö Leskinen,Finland,731770906,5.529,EUROPE,Start
Kamarulzaman Teh,Malaysia,731781828,32.781,ASIA,Start
Ivo Visković,Serbia,731786448,6.957000000000001,EUROPE,Start
Jordi Miralles,Spain,731788969,47.635,EUROPE,Stub
Herman Wrangel,Sweden,731794220,10.377,EUROPE,Stub
Pekka Aakula,Finland,731805771,5.529,EUROPE,Stub
Artturi Aalto,Finland,731805829,5.529,EUROPE,Stub
Kalle Aalto,Finland,731805903,5.529,EUROPE,Stub
Fanny Ahlfors,Finland,731805963,5.529,EUROPE,Stub
Ivar Alanen,Finland,731805998,5.529,EUROPE,Stub
August Hjelt,Finland,731808702,5.529,EUROPE,Stub
Tomaž Marušič,Slovenia,731848951,2.103,EUROPE,Stub
Pavao Muhić,Croatia,731856594,4.02,EUROPE,Stub
Stepan Stepanian,Armenia,731877906,2.9560000000000004,ASIA,Stub
Costin Borc,Romania,731892475,19.241,EUROPE,Stub
Hermann Dietrich,Germany,731899371,83.3,EUROPE,Stub
Ignaz Kiechle,Germany,731902994,83.3,EUROPE,Stub
Toivo Wiherheimo,Finland,731910771,5.529,EUROPE,Stub
Pierre Fauchon,France,731931234,64.94,EUROPE,Stub
Rama Sithanen,Mauritius,731947303,1.265,AFRICA,Start
Li Jingtian,China,731968478,1402.385,ASIA,Start
Vera Lischka,Austria,731975089,8.914,EUROPE,Stub
Carl Löwenhielm,Sweden,731979798,10.377,EUROPE,Stub
Diana Finda Konomanyi,Sierra Leone,731993610,7.977,AFRICA,Start
Mohammad Bagheri (politician),Iran,731995279,84.15,ASIA,Stub
Herbert Gallagher,Ireland,732006763,5.003,EUROPE,Start
Antonio Gerona,Philippines,732037134,109.581,ASIA,Stub
M. Yousuf Ali,Bangladesh,732055398,169.80900000000003,ASIA,Stub
List of Presidents of the Regional Council of Martinique,Martinique,732059763,356.0,LATIN AMERICA AND THE CARIBBEAN,Stub
Bill Prest,Australia,732060556,25.754,OCEANIA,Start
Tom Harris (Australian politician),Australia,732063939,25.754,OCEANIA,Stub
Deputy Speaker of the Grand National Assembly,Turkey,732064795,83.73700000000001,ASIA,Start
Maria Goia,Italy,732070138,60.29600000000001,EUROPE,Stub
Noel Padgham-Purich,Australia,732089980,25.754,OCEANIA,Stub
Rafi Daham al-Tikriti,Iraq,732097548,39.725,ASIA,Stub
"Francis Norris, 1st Earl of Berkshire",United Kingdom,732108083,67.16,EUROPE,Start
Javad Arianmanesh,Iran,732113043,84.15,ASIA,Stub
Giovanni Conti (politician),Italy,732155571,60.29600000000001,EUROPE,Stub
Nuru Awadhi Bafadhili,Tanzania,732171396,59.733999999999995,AFRICA,Stub
Nikolaos Makris,Greece,732179557,10.7,EUROPE,Stub
Juan de la Jaraquemada,Spain,732190131,47.635,EUROPE,Stub
Cathy Berx,Belgium,732214547,11.515,EUROPE,Start
Fritz Kwabena Poku,Ghana,732219593,31.073,AFRICA,Stub
Pascal Chabi Kao,Benin,732223510,12.209000000000001,AFRICA,Start
List of Speakers of the House of Representatives of Jamaica,Jamaica,732225589,2.8089999999999997,LATIN AMERICA AND THE CARIBBEAN,Stub
List of rulers of Welayta,Ethiopia,732225834,114.916,AFRICA,Start
Milou Jeunehomme,Belgium,732227753,11.515,EUROPE,Stub
Lionel Beffre,France,732238787,64.94,EUROPE,Stub
Pierre Van Humbeeck,Belgium,732246853,11.515,EUROPE,Stub
Sandor Szondi,Belgium,732256667,11.515,EUROPE,Start
Sergio Previtali,Uruguay,732258141,3.531,LATIN AMERICA AND THE CARIBBEAN,Stub
J. J. Dossen,Liberia,732263636,5.058,AFRICA,Stub
Laurent Merchiers,Belgium,732269171,11.515,EUROPE,Stub
Presidents of the Regional Council of French Guiana,French Guiana,732283076,294.0,LATIN AMERICA AND THE CARIBBEAN,Stub
Carlos Castillo Medrano,Guatemala,732283089,18.066,LATIN AMERICA AND THE CARIBBEAN,Stub
Jean-Jacques Démafouth,Central African Republic,732296546,4.83,AFRICA,Start
Moses Garu,Solomon Islands,732297126,715.0,OCEANIA,Start
Francisco Bauzá,Uruguay,732298946,3.531,LATIN AMERICA AND THE CARIBBEAN,Start
Pieter Steyn,Netherlands,732312676,17.467,EUROPE,Stub
Cambodian People's Party–FUNCINPEC coalition agreement,Cambodia,732331264,15.497,ASIA,Stub
Arthur Vanderpoorten,Belgium,732333294,11.515,EUROPE,Stub
Patricia Symmonds,Barbados,732352772,287.0,LATIN AMERICA AND THE CARIBBEAN,Stub
George Abraham von Dyhrn,Austria,732354913,8.914,EUROPE,Stub
Diego Ronquillo,Philippines,732375306,109.581,ASIA,Stub
Lord Allan Jay Velasco,Philippines,732380888,109.581,ASIA,Start
Renato Archer,Brazil,732415690,211.812,LATIN AMERICA AND THE CARIBBEAN,Stub
Jens Aars,Norway,732416233,5.3870000000000005,EUROPE,Start
Nils Fredrik Julius Aars,Norway,732416235,5.3870000000000005,EUROPE,Stub
Hans Aarstad,Norway,732416269,5.3870000000000005,EUROPE,Stub
Haagen Ludvig Bergh,Norway,732416673,5.3870000000000005,EUROPE,Stub
Gunner Berg,Norway,732416677,5.3870000000000005,EUROPE,Stub
Ole Bergesen (1832),Norway,732416693,5.3870000000000005,EUROPE,Stub
Peter Munch Brager,Norway,732416808,5.3870000000000005,EUROPE,Stub
Just Bing Ebbesen,Norway,732417139,5.3870000000000005,EUROPE,Stub
Peter Hersleb Harboe Castberg,Norway,732417144,5.3870000000000005,EUROPE,Start
Claus Daae,Norway,732417163,5.3870000000000005,EUROPE,Start
Nils Nilssøn Dahl,Norway,732417182,5.3870000000000005,EUROPE,Stub
Bernhard Ludvig Essendrop,Norway,732417310,5.3870000000000005,EUROPE,Start
Alfred Eriksen,Norway,732417318,5.3870000000000005,EUROPE,C
Kari Garmann,Norway,732417622,5.3870000000000005,EUROPE,Start
Jørres Schelderup Hansen,Norway,732418172,5.3870000000000005,EUROPE,Stub
Julius Christopher Hammer,Norway,732418189,5.3870000000000005,EUROPE,Stub
Georg Prahl Harbitz,Norway,732418432,5.3870000000000005,EUROPE,C
Leonhard Christian Borchgrevink Holmboe,Norway,732418561,5.3870000000000005,EUROPE,Stub
Niels Hertzberg,Norway,732418602,5.3870000000000005,EUROPE,Start
Prableen Kaur,Norway,732419105,5.3870000000000005,EUROPE,Stub
Christopher Knudsen,Norway,732419157,5.3870000000000005,EUROPE,Start
Hans Jensen Krog,Norway,732419389,5.3870000000000005,EUROPE,Stub
Hans Nicolai Lange,Norway,732419391,5.3870000000000005,EUROPE,Stub
Ole Arntzen Lützow-Holm,Norway,732419707,5.3870000000000005,EUROPE,Stub
Målfrid Longva,Norway,732419722,5.3870000000000005,EUROPE,Stub
Jon Jørundson Mannsåker,Norway,732419842,5.3870000000000005,EUROPE,Stub
Bernt Sverdrup Maschmann,Norway,732419847,5.3870000000000005,EUROPE,Stub
Turid Kjellmann Pedersen,Norway,732420432,5.3870000000000005,EUROPE,Start
Ole Richter,Norway,732420465,5.3870000000000005,EUROPE,Start
Aage Schavland,Norway,732420717,5.3870000000000005,EUROPE,Stub
Inger Aarø Spiten,Norway,732421144,5.3870000000000005,EUROPE,Stub
Kjersti Stenseng,Norway,732421156,5.3870000000000005,EUROPE,Start
Jakob Sverdrup (politician),Norway,732421190,5.3870000000000005,EUROPE,GA
Harald Ulrik Sverdrup (politician),Norway,732421272,5.3870000000000005,EUROPE,Start
Søren Wilhelm Thorne,Norway,732421411,5.3870000000000005,EUROPE,Stub
Kristian Tønder,Norway,732421450,5.3870000000000005,EUROPE,Start
Tone-Helen Toften,Norway,732421458,5.3870000000000005,EUROPE,Stub
Paul Vinsnes,Norway,732421690,5.3870000000000005,EUROPE,Start
Niels Nielsen Vogt,Norway,732421745,5.3870000000000005,EUROPE,Stub
Jacob Andreas Wille,Norway,732421855,5.3870000000000005,EUROPE,Stub
Hans Wille,Norway,732421856,5.3870000000000005,EUROPE,Stub
Astrid Bekkenes,Norway,732422102,5.3870000000000005,EUROPE,Stub
Ellen Bergli,Norway,732422115,5.3870000000000005,EUROPE,Stub
Klara Berg,Norway,732422122,5.3870000000000005,EUROPE,Stub
Målfrid Floan Belbo,Norway,732422129,5.3870000000000005,EUROPE,Stub
Anne Marie Blomstereng,Norway,732422138,5.3870000000000005,EUROPE,Stub
Marion Gunstveit Bojanowski,Norway,732422182,5.3870000000000005,EUROPE,Stub
Amund Nøkleby Bentzen,Norway,732422208,5.3870000000000005,EUROPE,Stub
Kristin K. Devold,Norway,732422240,5.3870000000000005,EUROPE,Stub
Anette Wiig Bryn,Norway,732422249,5.3870000000000005,EUROPE,Stub
Birgit Dalland,Norway,732422265,5.3870000000000005,EUROPE,Stub
Cathrin Bretzeg,Norway,732422269,5.3870000000000005,EUROPE,Stub
Sara Stockfleth Christie,Norway,732422312,5.3870000000000005,EUROPE,Start
Vivian Knarvik Bugge,Norway,732422345,5.3870000000000005,EUROPE,Stub
Tone Heimdal Brataas,Norway,732422368,5.3870000000000005,EUROPE,Stub
Ingrid Fiskaa,Norway,732422481,5.3870000000000005,EUROPE,Start
Siri Hov Eggen,Norway,732422501,5.3870000000000005,EUROPE,Stub
Aud Folkestad,Norway,732422540,5.3870000000000005,EUROPE,Stub
Åslaug Grinde,Norway,732422548,5.3870000000000005,EUROPE,Stub
Helen Fløisand,Norway,732422584,5.3870000000000005,EUROPE,Stub
Ole Henrik Grønn,Norway,732422605,5.3870000000000005,EUROPE,Stub
Gunn Elin Flakne,Norway,732422636,5.3870000000000005,EUROPE,Stub
Ingjerd Thon Hagaseth,Norway,732422779,5.3870000000000005,EUROPE,Stub
Siv Elin Hansen,Norway,732422780,5.3870000000000005,EUROPE,Stub
Alvhild Hedstein,Norway,732422814,5.3870000000000005,EUROPE,Stub
Rita Haugerud,Norway,732422837,5.3870000000000005,EUROPE,Stub
Ida Marie Holen,Norway,732422890,5.3870000000000005,EUROPE,Stub
Åshild Haugland,Norway,732422892,5.3870000000000005,EUROPE,Stub
Marit Svarva Henriksen,Norway,732422913,5.3870000000000005,EUROPE,Stub
Astrid Dirdal Hegrestad,Norway,732422914,5.3870000000000005,EUROPE,Stub
Sissel Knutsen Hegdal,Norway,732422916,5.3870000000000005,EUROPE,Stub
Bjørg Holmsen,Norway,732422921,5.3870000000000005,EUROPE,Stub
Margaret E. Hillestad,Norway,732422926,5.3870000000000005,EUROPE,Stub
Jennie Johnsen,Norway,732422932,5.3870000000000005,EUROPE,Stub
Kari Husøy,Norway,732422941,5.3870000000000005,EUROPE,Stub
Gudrun Tandberg Høykoll,Norway,732422949,5.3870000000000005,EUROPE,Stub
Åse Lill Kimestad,Norway,732422959,5.3870000000000005,EUROPE,Stub
Hege Jensen,Norway,732423047,5.3870000000000005,EUROPE,Stub
Lotte Grepp Knutsen,Norway,732423172,5.3870000000000005,EUROPE,Stub
Rangdi Krogstad,Norway,732423189,5.3870000000000005,EUROPE,Stub
Kristin Moe,Norway,732423286,5.3870000000000005,EUROPE,Stub
Nina Mjøberg,Norway,732423288,5.3870000000000005,EUROPE,Stub
Bjørg Tysdal Moe,Norway,732423311,5.3870000000000005,EUROPE,Stub
Tone Liljeroth,Norway,732423352,5.3870000000000005,EUROPE,Stub
Kjell Erik Øie,Norway,732423367,5.3870000000000005,EUROPE,Start
Jorid Holstad Nordmelan,Norway,732423489,5.3870000000000005,EUROPE,Stub
Randi Øverland,Norway,732423527,5.3870000000000005,EUROPE,Stub
Kirsten Reitan,Norway,732423603,5.3870000000000005,EUROPE,Stub
Marie Borge Refsum,Norway,732423620,5.3870000000000005,EUROPE,Stub
Kari Raustein,Norway,732423697,5.3870000000000005,EUROPE,Stub
Britt Schultz,Norway,732423724,5.3870000000000005,EUROPE,Stub
Anna Kristine Jahr Røine,Norway,732423806,5.3870000000000005,EUROPE,Stub
Anne Sandum,Norway,732423926,5.3870000000000005,EUROPE,Stub
Kari Sørheim,Norway,732424064,5.3870000000000005,EUROPE,Stub
Edel Viola Ski,Norway,732424121,5.3870000000000005,EUROPE,Stub
Greta Johanne Solfall,Norway,732424137,5.3870000000000005,EUROPE,Stub
Morten Strand,Norway,732424166,5.3870000000000005,EUROPE,Stub
Ruth Stenersen,Norway,732424184,5.3870000000000005,EUROPE,Stub
Per Tønder,Norway,732424201,5.3870000000000005,EUROPE,Stub
Bente Øyan Sveum,Norway,732424238,5.3870000000000005,EUROPE,Stub
Frøydis Elisabeth Sund,Norway,732424261,5.3870000000000005,EUROPE,Stub
Laila Thorsen,Norway,732424265,5.3870000000000005,EUROPE,Stub
Hanne Thürmer,Norway,732424275,5.3870000000000005,EUROPE,Stub
Martha Seim Valeur,Norway,732424323,5.3870000000000005,EUROPE,Stub
Ingeborg Wærstad,Norway,732424396,5.3870000000000005,EUROPE,Stub
Line Vennesland,Norway,732424401,5.3870000000000005,EUROPE,Stub
Mikhail Mikhailovich Golitsyn (admiral),Russia,732425100,146.733,EUROPE,Start
Raphael Nomiye,Nigeria,732432078,206.14,AFRICA,Start
Reinaldo Leandro Mora,Venezuela,732433158,28.645,LATIN AMERICA AND THE CARIBBEAN,Start
C.-H. Hermansson,Sweden,732434054,10.377,EUROPE,Stub
Alonso de Escobar,Spain,732437615,47.635,EUROPE,Stub
Diego Pérez Moreno,Spain,732437774,47.635,EUROPE,Stub
José Carlos da Silva Mayrink Ferrão,Brazil,732438356,211.812,LATIN AMERICA AND THE CARIBBEAN,Start
Mohammad Jihad al-Laham,Syria,732438376,19.398,ASIA,Stub
Mildred Oliphant,South Africa,732443507,59.628,AFRICA,Stub
José María Urrutia Manzano,Chile,732458192,19.47,LATIN AMERICA AND THE CARIBBEAN,Stub
Giovanni Paradisi,Italy,732466394,60.29600000000001,EUROPE,Stub
José María Guerrero de Arcos y Molina,Nicaragua,732471413,6.596,LATIN AMERICA AND THE CARIBBEAN,Stub
Hubert Fermina,Netherlands,732483398,17.467,EUROPE,Stub
Paul Varul,Estonia,732483668,1.331,EUROPE,Stub
Sakarias Jaan Leppik,Estonia,732483670,1.331,EUROPE,Start
Jacques de Kadt,Netherlands,732484674,17.467,EUROPE,Start
Henk Zeevalking,Netherlands,732484945,17.467,EUROPE,Stub
Jan Donner,Netherlands,732485119,17.467,EUROPE,Stub
Frans Beelaerts van Blokland,Netherlands,732485136,17.467,EUROPE,Stub
Johannes Adrianus van den Bosch,Netherlands,732485148,17.467,EUROPE,Stub
Jannes Pieter Mazure,Netherlands,732485308,17.467,EUROPE,Stub
Cornelis Pijnacker Hordijk,Netherlands,732485329,17.467,EUROPE,Stub
Willem Frederik Rochussen,Netherlands,732485332,17.467,EUROPE,Stub
Martin Pascal Hubert Strens,Netherlands,732485342,17.467,EUROPE,Stub
André Lesueur,Martinique,732488768,356.0,LATIN AMERICA AND THE CARIBBEAN,Stub
Tomasz Lipiec,Poland,732528068,38.368,EUROPE,Start
Ray Hanrahan,Australia,732533634,25.754,OCEANIA,Start
Karol Fryderyk Woyda,Poland,732553483,38.368,EUROPE,Stub
Saleem Ali (politician),Maldives,732568340,541.0,ASIA,Stub
Mumtaz Jajja,Pakistan,732578311,220.94,ASIA,Stub
Hannibal Sehested (council president),Denmark,732615415,5.829,EUROPE,Stub
Srikumar Mukherjee,India,732643498,1400.1,ASIA,Stub
Helmut Schlesinger,Germany,732650340,83.3,EUROPE,Stub
Grigory Aleksinsky,Russia,732684495,146.733,EUROPE,Start
Women in Niger,Niger,732698569,24.189,AFRICA,Start
Peter Schalk,Netherlands,732704363,17.467,EUROPE,Stub
Diederik van Dijk,Netherlands,732704395,17.467,EUROPE,Start
Jacob Otanka Obetsebi-Lamptey,Ghana,732712623,31.073,AFRICA,Start
Peter Mentz Jebsen,Norway,732736435,5.3870000000000005,EUROPE,Stub
N Gokulakrishnan,India,732801963,1400.1,ASIA,Stub
Anil Kumar Sahani,India,732802068,1400.1,ASIA,Stub
Harivansh Narayan Singh,India,732802209,1400.1,ASIA,Stub
A V Swamy,India,732802243,1400.1,ASIA,Stub
Reynaldo Escobar Pérez,Mexico,732812304,127.792,LATIN AMERICA AND THE CARIBBEAN,Stub
Moti Sasson,Israel,732812918,9.216000000000001,ASIA,Stub
Georg Ludwig von Maurer,Greece,732862650,10.7,EUROPE,Start
Ellen Ammann,Germany,732862721,83.3,EUROPE,Stub
Adolf Damaschke,Germany,732862851,83.3,EUROPE,Stub
Ernst Höfner,Germany,732862897,83.3,EUROPE,Stub
Franz Bracht,Germany,732862932,83.3,EUROPE,Stub
Willy Rumpf,Germany,732863087,83.3,EUROPE,Start
Christof Leng,Germany,732863293,83.3,EUROPE,Stub
Manfred Ostermann,Germany,732863323,83.3,EUROPE,Start
David Agir,Nauru,732865003,11.0,OCEANIA,Stub
Robert Victor Evan Wong,Guyana,732874224,787.0,LATIN AMERICA AND THE CARIBBEAN,C
Musheibu Mohammed Alfa,Ghana,732879377,31.073,AFRICA,Stub
Mahn Ba Khaing,Myanmar,732951234,54.70399999999999,ASIA,Stub
Ba Cho,Myanmar,732951252,54.70399999999999,ASIA,Stub
Costas Kadis,Cyprus,732969018,1.207,ASIA,Stub
Tjekero Tweya,Namibia,732970610,2.541,AFRICA,Stub
İhsan Saraçlar,Turkey,732977188,83.73700000000001,ASIA,Stub
Soita Shitanda,Kenya,732991530,53.528,AFRICA,Stub
Ohn Myint (politician),Myanmar,732996942,54.70399999999999,ASIA,Start
Maung Myint,Myanmar,733024721,54.70399999999999,ASIA,Stub
Mohamad Jawad Khalifeh,Lebanon,733040012,6.825,ASIA,Start
Hjörleifur Guttormsson,Iceland,733060744,368.0,EUROPE,Stub
Loris Fortuna,Italy,733078880,60.29600000000001,EUROPE,Start
Otto Wrede,Finland,733081138,5.529,EUROPE,Stub
Saeed Khalifa Humeid Al Rumaithi,United Arab Emirates,733088513,9.777999999999999,ASIA,Stub
Markos Natsinas,Greece,733093174,10.7,EUROPE,Stub
Dimitris Beis,Greece,733093255,10.7,EUROPE,Stub
Dimitris Tsovolas,Greece,733093276,10.7,EUROPE,Start
Konstantinos Triaridis,Greece,733093336,10.7,EUROPE,Stub
Svilen Neykov,Bulgaria,733098061,6.9270000000000005,EUROPE,Stub
Pabitra Kar,India,733099701,1400.1,ASIA,Stub
